Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;3868;2938;n/d;n/d;6806
SP-ADOLFO;n/d;475;233;n/d;n/d;708
SP-AGUAI;n/d;3287;1514;n/d;n/d;4801
SP-AGUAS DA PRATA;n/d;473;265;n/d;n/d;738
SP-AGUAS DE LINDOIA;n/d;2049;1452;n/d;n/d;3501
SP-AGUAS DE SANTA BARBARA;n/d;587;345;n/d;n/d;932
SP-AGUAS DE SAO PEDRO;n/d;545;439;n/d;n/d;984
SP-AGUDOS;n/d;3983;1909;n/d;n/d;5892
SP-ALAMBARI;n/d;260;158;n/d;n/d;418
SP-ALFREDO MARCONDES;n/d;213;112;n/d;n/d;325
SP-ALTAIR;n/d;435;110;n/d;n/d;545
SP-ALTINOPOLIS;n/d;2135;931;n/d;n/d;3066
SP-ALTO ALEGRE;n/d;297;133;n/d;n/d;430
SP-ALUMINIO;n/d;5901;951;n/d;n/d;6852
SP-ALVARES FLORENCE;n/d;968;140;n/d;n/d;1108
SP-ALVARES MACHADO;n/d;1339;803;n/d;n/d;2142
SP-ALVARO DE CARVALHO;n/d;880;201;n/d;n/d;1081
SP-ALVINLANDIA;n/d;207;87;n/d;n/d;294
SP-AMERICANA;n/d;38267;23081;n/d;n/d;61348
SP-AMERICO BRASILIENSE;n/d;3825;1557;n/d;n/d;5382
SP-AMERICO DE CAMPOS;n/d;318;152;n/d;n/d;470
SP-AMPARO;n/d;10475;7103;n/d;n/d;17578
SP-ANALANDIA;n/d;862;264;n/d;n/d;1126
SP-ANDRADINA;n/d;7014;3624;n/d;n/d;10638
SP-ANGATUBA;n/d;2462;1154;n/d;n/d;3616
SP-ANHEMBI;n/d;503;150;n/d;n/d;653
SP-ANHUMAS;n/d;316;126;n/d;n/d;442
SP-APARECIDA;n/d;3792;2439;n/d;n/d;6231
SP-APARECIDA D OESTE;n/d;254;180;n/d;n/d;434
SP-APIAI;n/d;2009;1137;n/d;n/d;3146
SP-ARACARIGUAMA;n/d;3414;1397;n/d;n/d;4811
SP-ARACATUBA;n/d;20160;14073;n/d;n/d;34233
SP-ARACOIABA DA SERRA;n/d;1885;977;n/d;n/d;2862
SP-ARAMINA;n/d;263;196;n/d;n/d;459
SP-ARANDU;n/d;720;305;n/d;n/d;1025
SP-ARAPEI;n/d;270;185;n/d;n/d;455
SP-ARARAQUARA;n/d;32322;19759;n/d;n/d;52081
SP-ARARAS;n/d;16594;9522;n/d;n/d;26116
SP-ARCO-IRIS;n/d;187;79;n/d;n/d;266
SP-AREALVA;n/d;722;304;n/d;n/d;1026
SP-AREIAS;n/d;293;112;n/d;n/d;405
SP-AREIOPOLIS;n/d;630;431;n/d;n/d;1061
SP-ARIRANHA;n/d;2255;514;n/d;n/d;2769
SP-ARTUR NOGUEIRA;n/d;4289;4537;n/d;n/d;8826
SP-ARUJA;n/d;9572;3673;n/d;n/d;13245
SP-ASPASIA;n/d;129;63;n/d;n/d;192
SP-ASSIS;n/d;9204;6568;n/d;n/d;15772
SP-ATIBAIA;n/d;13924;9671;n/d;n/d;23595
SP-AURIFLAMA;n/d;1102;1349;n/d;n/d;2451
SP-AVAI;n/d;378;161;n/d;n/d;539
SP-AVANHANDAVA;n/d;614;453;n/d;n/d;1067
SP-AVARE;n/d;8012;5976;n/d;n/d;13988
SP-BADY BASSITT;n/d;1217;674;n/d;n/d;1891
