Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-ADAMANTINA;n/d;5258;4843;n/d;n/d;10101
SP-ADOLFO;n/d;520;427;n/d;n/d;947
SP-AGUAI;n/d;4273;2500;n/d;n/d;6773
SP-AGUAS DA PRATA;n/d;541;471;n/d;n/d;1012
SP-AGUAS DE LINDOIA;n/d;2474;2150;n/d;n/d;4624
SP-AGUAS DE SANTA BARBARA;n/d;926;585;n/d;n/d;1511
SP-AGUAS DE SAO PEDRO;n/d;676;695;n/d;n/d;1371
SP-AGUDOS;n/d;5180;3854;n/d;n/d;9034
SP-ALAMBARI;n/d;559;434;n/d;n/d;993
SP-ALFREDO MARCONDES;n/d;542;344;n/d;n/d;886
SP-ALTAIR;n/d;503;226;n/d;n/d;729
SP-ALTINOPOLIS;n/d;2393;1336;n/d;n/d;3729
SP-ALTO ALEGRE;n/d;286;191;n/d;n/d;477
SP-ALUMINIO;n/d;5070;1322;n/d;n/d;6392
SP-ALVARES FLORENCE;n/d;244;258;n/d;n/d;502
SP-ALVARES MACHADO;n/d;2029;1299;n/d;n/d;3328
SP-ALVARO DE CARVALHO;n/d;179;187;n/d;n/d;366
SP-ALVINLANDIA;n/d;207;127;n/d;n/d;334
SP-AMERICANA;n/d;39148;32595;n/d;n/d;71743
SP-AMERICO BRASILIENSE;n/d;6552;3035;n/d;n/d;9587
SP-AMERICO DE CAMPOS;n/d;281;320;n/d;n/d;601
SP-AMPARO;n/d;13207;10423;n/d;n/d;23630
SP-ANALANDIA;n/d;704;335;n/d;n/d;1039
SP-ANDRADINA;n/d;9111;6754;n/d;n/d;15865
SP-ANGATUBA;n/d;3427;1836;n/d;n/d;5263
SP-ANHEMBI;n/d;718;351;n/d;n/d;1069
SP-ANHUMAS;n/d;211;265;n/d;n/d;476
SP-APARECIDA;n/d;5876;5583;n/d;n/d;11459
SP-APARECIDA D OESTE;n/d;402;289;n/d;n/d;691
SP-APIAI;n/d;2952;1816;n/d;n/d;4768
SP-ARACARIGUAMA;n/d;6538;3155;n/d;n/d;9693
SP-ARACATUBA;n/d;28873;22832;n/d;n/d;51705
SP-ARACOIABA DA SERRA;n/d;3306;2547;n/d;n/d;5853
SP-ARAMINA;n/d;373;390;n/d;n/d;763
SP-ARANDU;n/d;928;441;n/d;n/d;1369
SP-ARAPEI;n/d;226;161;n/d;n/d;387
SP-ARARAQUARA;n/d;38414;35994;n/d;n/d;74408
SP-ARARAS;n/d;23161;15341;n/d;n/d;38502
SP-ARCO-IRIS;n/d;185;142;n/d;n/d;327
SP-AREALVA;n/d;886;635;n/d;n/d;1521
SP-AREIAS;n/d;387;218;n/d;n/d;605
SP-AREIOPOLIS;n/d;671;571;n/d;n/d;1242
SP-ARIRANHA;n/d;2741;795;n/d;n/d;3536
SP-ARTUR NOGUEIRA;n/d;4441;4648;n/d;n/d;9089
SP-ARUJA;n/d;15165;9072;n/d;n/d;24237
SP-ASPASIA;n/d;104;115;n/d;n/d;219
SP-ASSIS;n/d;11758;9902;n/d;n/d;21660
SP-ATIBAIA;n/d;21855;18970;n/d;n/d;40825
SP-AURIFLAMA;n/d;1181;1394;n/d;n/d;2575
SP-AVAI;n/d;756;503;n/d;n/d;1259
SP-AVANHANDAVA;n/d;1188;575;n/d;n/d;1763
SP-AVARE;n/d;11828;10270;n/d;n/d;22098
SP-BADY BASSITT;n/d;1812;1245;n/d;n/d;3057
SP-BALBINOS;n/d;169;206;n/d;n/d;375
SP-BALSAMO;n/d;1009;462;n/d;n/d;1471
SP-BANANAL;n/d;1125;527;n/d;n/d;1652
SP-BARAO DE ANTONINA;n/d;292;292;n/d;n/d;584
SP-BARBOSA;n/d;369;259;n/d;n/d;628
SP-BARIRI;n/d;5546;3276;n/d;n/d;8822
SP-BARRA BONITA;n/d;7242;3982;n/d;n/d;11224
SP-BARRA DO CHAPEU;n/d;514;223;n/d;n/d;737
SP-BARRA DO TURVO;n/d;348;341;n/d;n/d;689
SP-BARRETOS;n/d;16730;15503;n/d;n/d;32233
SP-BARRINHA;n/d;2349;1545;n/d;n/d;3894
SP-BARUERI;n/d;143387;125270;n/d;n/d;268657
SP-BASTOS;n/d;3989;3223;n/d;n/d;7212
SP-BATATAIS;n/d;9468;6164;n/d;n/d;15632
SP-BAURU;n/d;69214;54729;n/d;n/d;123943
SP-BEBEDOURO;n/d;18234;10334;n/d;n/d;28568
SP-BENTO DE ABREU;n/d;657;217;n/d;n/d;874
SP-BERNARDINO DE CAMPOS;n/d;1322;1244;n/d;n/d;2566
SP-BERTIOGA;n/d;8411;5068;n/d;n/d;13479
SP-BILAC;n/d;928;529;n/d;n/d;1457
SP-BIRIGUI;n/d;15210;14629;n/d;n/d;29839
SP-BIRITIBA-MIRIM;n/d;1928;1571;n/d;n/d;3499
SP-BOA ESPERANCA DO SUL;n/d;1515;1116;n/d;n/d;2631
SP-BOCAINA;n/d;2218;1117;n/d;n/d;3335
SP-BOFETE;n/d;1319;612;n/d;n/d;1931
SP-BOITUVA;n/d;12748;8318;n/d;n/d;21066
SP-BOM JESUS DOS PERDOES;n/d;3469;1939;n/d;n/d;5408
SP-BOM SUCESSO DE ITARARE;n/d;454;191;n/d;n/d;645
SP-BORA;n/d;621;162;n/d;n/d;783
SP-BORACEIA;n/d;965;447;n/d;n/d;1412
SP-BORBOREMA;n/d;1546;1187;n/d;n/d;2733
SP-BOREBI;n/d;407;360;n/d;n/d;767
SP-BOTUCATU;n/d;24063;17841;n/d;n/d;41904
SP-BRAGANCA PAULISTA;n/d;23751;20986;n/d;n/d;44737
SP-BRAUNA;n/d;284;219;n/d;n/d;503
SP-BREJO ALEGRE;n/d;336;157;n/d;n/d;493
SP-BRODOWSKI;n/d;2932;2472;n/d;n/d;5404
SP-BROTAS;n/d;4359;2682;n/d;n/d;7041
SP-BURI;n/d;3286;1653;n/d;n/d;4939
SP-BURITAMA;n/d;2471;1247;n/d;n/d;3718
SP-BURITIZAL;n/d;1465;322;n/d;n/d;1787
SP-CABRALIA PAULISTA;n/d;545;266;n/d;n/d;811
SP-CABREUVA;n/d;9144;5515;n/d;n/d;14659
SP-CACAPAVA;n/d;13672;8228;n/d;n/d;21900
SP-CACHOEIRA PAULISTA;n/d;2671;2545;n/d;n/d;5216
SP-CACONDE;n/d;1122;880;n/d;n/d;2002
SP-CAFELANDIA;n/d;2347;1565;n/d;n/d;3912
SP-CAIABU;n/d;138;217;n/d;n/d;355
SP-CAIEIRAS;n/d;13106;7471;n/d;n/d;20577
SP-CAIUA;n/d;315;231;n/d;n/d;546
SP-CAJAMAR;n/d;25213;16419;n/d;n/d;41632
SP-CAJATI;n/d;4705;1952;n/d;n/d;6657
SP-CAJOBI;n/d;807;686;n/d;n/d;1493
SP-CAJURU;n/d;2928;2150;n/d;n/d;5078
SP-CAMPINA DO MONTE ALEGRE;n/d;449;389;n/d;n/d;838
SP-CAMPINAS;n/d;212076;189819;n/d;n/d;401895
SP-CAMPO LIMPO PAULISTA;n/d;7382;4592;n/d;n/d;11974
SP-CAMPOS DO JORDAO;n/d;6689;6285;n/d;n/d;12974
SP-CAMPOS NOVOS PAULISTA;n/d;455;256;n/d;n/d;711
SP-CANANEIA;n/d;883;715;n/d;n/d;1598
SP-CANAS;n/d;612;306;n/d;n/d;918
SP-CANDIDO MOTA;n/d;3765;2024;n/d;n/d;5789
SP-CANDIDO RODRIGUES;n/d;402;284;n/d;n/d;686
SP-CANITAR;n/d;280;238;n/d;n/d;518
SP-CAPAO BONITO;n/d;4852;3275;n/d;n/d;8127
SP-CAPELA DO ALTO;n/d;2142;1245;n/d;n/d;3387
SP-CAPIVARI;n/d;8168;6849;n/d;n/d;15017
SP-CARAGUATATUBA;n/d;13562;12589;n/d;n/d;26151
SP-CARAPICUIBA;n/d;21050;15608;n/d;n/d;36658
SP-CARDOSO;n/d;779;617;n/d;n/d;1396
SP-CASA BRANCA;n/d;3982;2739;n/d;n/d;6721
SP-CASSIA DOS COQUEIROS;n/d;252;221;n/d;n/d;473
SP-CASTILHO;n/d;1908;1090;n/d;n/d;2998
SP-CATANDUVA;n/d;20198;15860;n/d;n/d;36058
SP-CATIGUA;n/d;346;364;n/d;n/d;710
SP-CEDRAL;n/d;2235;2641;n/d;n/d;4876
SP-CERQUEIRA CESAR;n/d;2693;1780;n/d;n/d;4473
SP-CERQUILHO;n/d;7372;5321;n/d;n/d;12693
SP-CESARIO LANGE;n/d;2202;1405;n/d;n/d;3607
SP-CHARQUEADA;n/d;1339;969;n/d;n/d;2308
SP-CLEMENTINA;n/d;459;442;n/d;n/d;901
SP-COLINA;n/d;3416;2054;n/d;n/d;5470
SP-COLOMBIA;n/d;3822;1311;n/d;n/d;5133
SP-CONCHAL;n/d;3236;2635;n/d;n/d;5871
SP-CONCHAS;n/d;1794;1549;n/d;n/d;3343
SP-CORDEIROPOLIS;n/d;6653;3395;n/d;n/d;10048
SP-COROADOS;n/d;637;323;n/d;n/d;960
SP-CORONEL MACEDO;n/d;581;257;n/d;n/d;838
SP-CORUMBATAI;n/d;755;342;n/d;n/d;1097
SP-COSMOPOLIS;n/d;5496;4334;n/d;n/d;9830
SP-COSMORAMA;n/d;1630;564;n/d;n/d;2194
SP-COTIA;n/d;40548;34276;n/d;n/d;74824
SP-CRAVINHOS;n/d;5228;3541;n/d;n/d;8769
SP-CRISTAIS PAULISTA;n/d;955;489;n/d;n/d;1444
SP-CRUZALIA;n/d;210;176;n/d;n/d;386
SP-CRUZEIRO;n/d;10451;5939;n/d;n/d;16390
SP-CUBATAO;n/d;17992;6161;n/d;n/d;24153
SP-CUNHA;n/d;1355;930;n/d;n/d;2285
SP-DESCALVADO;n/d;6320;3268;n/d;n/d;9588
SP-DIADEMA;n/d;53228;33960;n/d;n/d;87188
SP-DIRCE REIS;n/d;220;93;n/d;n/d;313
SP-DIVINOLANDIA;n/d;1056;1210;n/d;n/d;2266
SP-DOBRADA;n/d;421;309;n/d;n/d;730
SP-DOIS CORREGOS;n/d;2963;2171;n/d;n/d;5134
SP-DOLCINOPOLIS;n/d;132;134;n/d;n/d;266
SP-DOURADO;n/d;1700;1060;n/d;n/d;2760
SP-DRACENA;n/d;6619;5207;n/d;n/d;11826
SP-DUARTINA;n/d;1326;1005;n/d;n/d;2331
SP-DUMONT;n/d;1173;913;n/d;n/d;2086
SP-ECHAPORA;n/d;510;312;n/d;n/d;822
SP-ELDORADO;n/d;1339;682;n/d;n/d;2021
SP-ELIAS FAUSTO;n/d;3565;1526;n/d;n/d;5091
SP-ELISIARIO;n/d;353;200;n/d;n/d;553
SP-EMBAUBA;n/d;195;163;n/d;n/d;358
SP-EMBU DAS ARTES;n/d;27241;17814;n/d;n/d;45055
SP-EMBU-GUACU;n/d;4833;3487;n/d;n/d;8320
SP-EMILIANOPOLIS;n/d;175;156;n/d;n/d;331
SP-ENGENHEIRO COELHO;n/d;2842;1928;n/d;n/d;4770
SP-ESPIRITO SANTO DO PINHAL;n/d;6433;5176;n/d;n/d;11609
SP-ESPIRITO SANTO DO TURVO;n/d;278;269;n/d;n/d;547
SP-ESTRELA D OESTE;n/d;2189;1425;n/d;n/d;3614
SP-ESTRELA DO NORTE;n/d;151;200;n/d;n/d;351
SP-EUCLIDES DA CUNHA PAULISTA;n/d;364;379;n/d;n/d;743
SP-FARTURA;n/d;1951;1782;n/d;n/d;3733
SP-FERNANDOPOLIS;n/d;9322;7135;n/d;n/d;16457
SP-FERNANDO PRESTES;n/d;725;642;n/d;n/d;1367
SP-FERNAO;n/d;199;130;n/d;n/d;329
SP-FERRAZ DE VASCONCELOS;n/d;11146;7944;n/d;n/d;19090
SP-FLORA RICA;n/d;143;134;n/d;n/d;277
SP-FLOREAL;n/d;265;183;n/d;n/d;448
SP-FLORIDA PAULISTA;n/d;756;602;n/d;n/d;1358
SP-FLORINIA;n/d;296;196;n/d;n/d;492
SP-FRANCA;n/d;44855;39949;n/d;n/d;84804
SP-FRANCISCO MORATO;n/d;4052;5505;n/d;n/d;9557
SP-FRANCO DA ROCHA;n/d;8946;8510;n/d;n/d;17456
SP-GABRIEL MONTEIRO;n/d;371;539;n/d;n/d;910
SP-GALIA;n/d;805;502;n/d;n/d;1307
SP-GARCA;n/d;5938;4213;n/d;n/d;10151
SP-GASTAO VIDIGAL;n/d;171;133;n/d;n/d;304
SP-GAVIAO PEIXOTO;n/d;3183;940;n/d;n/d;4123
SP-GENERAL SALGADO;n/d;860;714;n/d;n/d;1574
SP-GETULINA;n/d;795;444;n/d;n/d;1239
SP-GLICERIO;n/d;541;336;n/d;n/d;877
SP-GUAICARA;n/d;908;643;n/d;n/d;1551
SP-GUAIMBE;n/d;329;223;n/d;n/d;552
SP-GUAIRA;n/d;11119;3910;n/d;n/d;15029
SP-GUAPIACU;n/d;2771;1963;n/d;n/d;4734
SP-GUAPIARA;n/d;1353;688;n/d;n/d;2041
SP-GUARA;n/d;1689;1319;n/d;n/d;3008
SP-GUARACAI;n/d;759;600;n/d;n/d;1359
SP-GUARACI;n/d;1650;807;n/d;n/d;2457
SP-GUARANI D OESTE;n/d;153;160;n/d;n/d;313
SP-GUARANTA;n/d;688;482;n/d;n/d;1170
SP-GUARARAPES;n/d;4185;2427;n/d;n/d;6612
SP-GUARAREMA;n/d;4614;3320;n/d;n/d;7934
SP-GUARATINGUETA;n/d;18996;12240;n/d;n/d;31236
SP-GUAREI;n/d;1415;924;n/d;n/d;2339
SP-GUARIBA;n/d;4567;2657;n/d;n/d;7224
SP-GUARUJA;n/d;26771;20064;n/d;n/d;46835
SP-GUARULHOS;n/d;200175;133657;n/d;n/d;333832
SP-GUATAPARA;n/d;887;647;n/d;n/d;1534
SP-GUZOLANDIA;n/d;318;287;n/d;n/d;605
SP-HERCULANDIA;n/d;802;441;n/d;n/d;1243
SP-HOLAMBRA;n/d;4664;5627;n/d;n/d;10291
SP-HORTOLANDIA;n/d;27184;18881;n/d;n/d;46065
SP-IACANGA;n/d;2124;857;n/d;n/d;2981
SP-IACRI;n/d;586;347;n/d;n/d;933
SP-IARAS;n/d;1085;649;n/d;n/d;1734
SP-IBATE;n/d;4075;2124;n/d;n/d;6199
SP-IBIRA;n/d;1073;936;n/d;n/d;2009
SP-IBIRAREMA;n/d;466;255;n/d;n/d;721
SP-IBITINGA;n/d;8174;7142;n/d;n/d;15316
